tx_date,tx_type,party,currency,shipping,tax,fees,notes,country,denomination,series,year,mint_mark,variety,quantity,unit_price,purchase_grade_company,purchase_grade_text,purchase_numeric_grade,estimated_grade_text,estimated_numeric_grade,valuation_method,manual_est_unit_value,storage_location
5/1/2025,BUY,Edward Lyons / Unky,CAD,,,,,Canada,Quarter Dollar,George VI (1937-1947),1944,,,1,0,,,,,,,,World Coins Box
5/1/2025,BUY,Edward Lyons / Unky,Fr,,,,,France,25 Centimes,3rd Republic (1917-1937),1921,,,1,0,,,,,,,,World Coins Box
5/1/2025,BUY,Edward Lyons / Unky,RM,,,,,Germany,5 Reichsmark,Hindenburg (1936-1939),1938,A,,1,0,,,,,,,,World Coins Box
